SeniorCitizen,tenure,MonthlyCharges,gender_Female,gender_Male,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,Churn_No,Churn_Yes,Charges_Per_Tenure,TotalCharges
0.0,0.013888888888888888,0.11542288557213931,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.18192596999702523,0.003491228070175439
0.0,0.4722222222222222,0.3850746268656716,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.016910701384799387,0.22646783625730998
0.0,0.027777777777777776,0.35422885572139307,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.21946368620118145,0.012596491228070177
0.0,0.625,0.23930348258706463,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.008130255555576085,0.2226315789473684
0.0,0.027777777777777776,0.5218905472636816,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.2891618149108269,0.016538011695906435
0.0,0.1111111111111111,0.8099502487562189,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.13411622493259487,0.09323976608187136
0.0,0.3055555555555555,0.7049751243781094,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.044791237461036595,0.22926315789473684
0.0,0.1388888888888889,0.11442786069651739,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.030280365166260374,0.0347953216374269
0.0,0.38888888888888884,0.8611940298507462,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.041563366886528265,0.3432046783625731
0.0,0.861111111111111,0.3771144278606965,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.007779133638638122,0.40716959064327485
0.0,0.18055555555555555,0.3154228855721393,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04099334009240091,0.07594736842105264
0.0,0.2222222222222222,0.006965174129353213,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.010551787754326584,0.03546198830409357
0.0,0.8055555555555555,0.8169154228855721,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.017825313740475062,0.6807368421052631
0.0,0.6805555555555555,0.8502487562189055,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.02245582423186435,0.5943040935672516
0.0,0.3472222222222222,0.8681592039800995,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.04707178419302851,0.3084795321637427
0.0,0.9583333333333333,0.945273631840796,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.01679547344839938,0.9139473684210526
0.0,0.7222222222222222,0.023880597014925342,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0015541120785667714,0.1255906432748538
0.0,0.986111111111111,0.8800995024875623,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.015108910704083033,0.886046783625731
0.0,0.1388888888888889,0.36766169154228856,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.058990654494458,0.06456140350877193
0.0,0.29166666666666663,0.7144278606965173,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.04751217929153419,0.22117543859649122
1.0,0.013888888888888888,0.21293532338308457,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.24273086566656754,0.004637426900584795
0.0,0.16666666666666666,0.015422885572139305,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.015619330310588654,0.02778947368421053
0.0,0.013888888888888888,0.018905472636815884,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.12174153244655986,0.0023567251461988304
0.0,0.8055555555555555,0.4144278606965174,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.009317676141606203,0.4063391812865497
0.0,0.6805555555555555,0.4114427860696518,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.011510943011346733,0.34156725146198835
0.0,0.41666666666666663,0.3686567164179104,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.01885556595897519,0.19403508771929825
0.0,0.6527777777777778,0.8069651741293532,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.022403602340175376,0.5461345029239766
0.0,0.013888888888888888,0.11890547263681589,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1840975734137946,0.0035321637426900584
0.0,1.0,0.7164179104477612,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0120606859037015,0.76
0.0,0.2361111111111111,0.4621890547263682,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04132326623508469,0.1286432748538012
1.0,0.986111111111111,0.7771144278606964,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.013325093611736763,0.8000994152046783
